;Palabra;Sentimiento;Valoracion;Stemmed
242;berreador;Triste;-1;berreador
243;berrido;Triste;-1;berr
244;berrinche;Triste;-1;berrinch
245;bienaventurado;Feliz;1;bienaventur
246;bienestar;Feliz;1;bienest
247;bienhadado;Feliz;1;bienhad
248;birria;Triste;-1;birri
249;bizco;Triste;-1;bizc
250;bizquera;Triste;-1;bizquer
251;blando;Triste;-1;bland
252;blandura;Triste;-1;blandur
253;bloquear;Triste;-1;bloqu
254;bloqueo;Triste;-1;bloque
255;bochornoso;Triste;-1;bochorn
256;boicot;Triste;-1;boicot
257;bonachón;Feliz;1;bonachon
258;bonancible;Feliz;1;bonanc
259;bonanza;Feliz;1;bonanz
260;bondad;Feliz;1;bond
261;bondadoso;Feliz;1;bondad
262;boom;Feliz;1;boom
263;boquear;Triste;-1;boqu
264;borrachera;Feliz;1;borracher
265;borrar;Triste;-1;borr
266;borrego;Triste;-1;borreg
267;borroso;Triste;-1;borros
268;botarate;Triste;-1;botarat
269;boyante;Feliz;1;boyant
270;bravío;Feliz;1;bravi
271;bronco;Triste;-1;bronc
272;brotar;Feliz;1;brot
273;bruja;Triste;-1;bruj
274;brusco;Triste;-1;brusc
275;brusquedad;Triste;-1;brusqued
276;brutalidad;Triste;-1;brutal
277;bruto;Triste;-1;brut
278;bueno;Feliz;1;buen
279;bufón;Triste;-1;bufon
280;bulla;Feliz;1;bull
281;bullanguero;Feliz;1;bullanguer
282;bullicio;Feliz;1;bullici
283;burgués;Feliz;1;burgues
284;burla;Triste;-1;burl
285;burlón;Triste;-1;burlon
286;cabal;Feliz;1;cabal
287;cabizbajo;Triste;-1;cabizbaj
288;cadaver;Triste;-1;cadav
289;cadáveres;Triste;-1;cadaver
290;caer;Triste;-1;caer
291;caída;Triste;-1;caid
292;caja;Triste;-1;caj
293;cajón;Triste;-1;cajon
294;calamidad;Triste;-1;calam
295;calamitoso;Triste;-1;calamit
296;calidad;Feliz;1;calid
297;cálido;Feliz;1;cal
298;caliginoso;Triste;-1;caligin
299;calina;Triste;-1;calin
300;callado;Triste;-1;call
301;calvicie;Triste;-1;calvici
302;calvo;Triste;-1;calv
303;calzonazos;Triste;-1;calzonaz
304;cambiar;Feliz;1;cambi
305;campante;Feliz;1;campant
306;camposanto;Triste;-1;camposant
307;cansado;Triste;-1;cans
308;cansancio;Triste;-1;cansanci
309;caos;Triste;-1;caos
310;capilla;Triste;-1;capill
311;caprichoso;Triste;-1;caprich
312;carcajada;Feliz;1;carcaj
313;carcajeo;Feliz;1;carcaje
314;carecer;Triste;-1;carec
315;carencia;Triste;-1;carenci
316;carente;Triste;-1;carent
317;cariacontecido;Triste;-1;cariacontec
318;caricatura;Triste;-1;caricatur
319;caricaturesco;Triste;-1;caricaturesc
320;caricaturizar;Triste;-1;caricaturiz
321;caridad;Triste;-1;carid
322;cariñoso;Feliz;1;cariñ
323;carnavalesco;Feliz;1;carnavalesc
324;carnicería;Triste;-1;carnic
325;Caronte;Triste;-1;caront
326;castigo;Triste;-1;castig
327;cataclísmico;Triste;-1;cataclism
328;cataclismo;Triste;-1;catacl
329;catacumba;Triste;-1;catacumb
330;catalepsia;Triste;-1;catalepsi
331;catástrofe;Triste;-1;catastrof
332;cavernoso;Triste;-1;cavern
333;cebarse;Triste;-1;ceb
334;ceder;Triste;-1;ced
335;ceguera;Triste;-1;ceguer
336;cejijunto;Triste;-1;cejijunt
337;celebrar;Feliz;1;celebr
338;cementerio;Triste;-1;cementeri
339;cenizas;Triste;-1;ceniz
