Palabra;Sentimiento;Valoracion manual
campante;Feliz;1
camposanto;Triste;-1
cansado;Triste;-1
cansancio;Triste;-1
cansar;Triste;-1
caos;Triste;-1
capilla;Triste;-1
caprichoso;Triste;-1
carcajada;Feliz;1
carcajeante;Feliz;1
carcajear;Feliz;1
carcajeo;Feliz;1
carecer;Triste;-1
carencia;Triste;-1
carente;Triste;-1
cariacontecido;Triste;-1
caricatura;Triste;-1
caricaturesco;Triste;-1
caricaturizar;Triste;-1
caridad;Triste;-1
cari�oso;Feliz;1
carnavalesco;Feliz;1
carnicer�a;Triste;-1
Caronte;Triste;-1
castigo;Triste;-1
catacl�smico;Triste;-1
cataclismo;Triste;-1
catacumba;Triste;-1
catalepsia;Triste;-1
cat�strofe;Triste;-1
catastr�fico;Triste;-1
cavernoso;Triste;-1
cebarse;Triste;-1
ceder;Triste;-1
ceguera;Triste;-1
cejijunto;Triste;-1
celebrar;Feliz;1
cementerio;Triste;-1
cenizas;Triste;-1
cenizo;Triste;-1
ce�o;Triste;-1
ce�udo;Triste;-1
Cerbero;Triste;-1
cercar;Triste;-1
cerco;Triste;-1
cerrar;Triste;-1
cerril;Triste;-1
cerrilidad;Triste;-1
cesante;Triste;-1
cesar;Triste;-1
cese;Triste;-1
chancero;Feliz;1
chillar;Triste;-1
chillido;Triste;-1
chill�n;Triste;-1
chiquilicuatro;Triste;-1
chiste;Feliz;1
chistoso;Feliz;1
chocar;Triste;-1
choque;Triste;-1
chorrear;Triste;-1
cicl�n;Triste;-1
ciego;Triste;-1
cielo;Feliz;1
cierre;Triste;-1
clamar;Feliz;1
clamor;Feliz;1
claudicaci�n;Triste;-1
claudicante;Triste;-1
claudicar;Triste;-1
clausura;Triste;-1
clausurar;Triste;-1
Cloto;Triste;-1
coaccionar;Triste;-1
cobarde;Triste;-1
cobard�a;Triste;-1
coco;Triste;-1
coito;Feliz;1
cojera;Triste;-1
cojo;Triste;-1
colisionar;Triste;-1
columbario;Triste;-1
comez�n;Triste;-1
comicidad;Feliz;1
c�mico;Feliz;1
comodidad;Feliz;1
c�modo;Feliz;1
compadecer;Triste;-1
compasi�n;Triste;-1
compasivo;Triste;-1
compensaci�n;Feliz;1
compensar;Feliz;1
complacencia;Feliz;1
complacer;Feliz;1
complacerse;Feliz;1
complacido;Feliz;1
complaciente;Feliz;1
completar;Feliz;1
completo;Feliz;1
compungido;Triste;-1
compungir;Triste;-1
conceder;Feliz;1
concupiscencia;Feliz;1
concupiscente;Feliz;1
condenaci�n;Triste;-1
condescendencia;Triste;-1
condescender;Triste;-1
